index,network,network_names,connection,censor,Beta
35245,6-6,Memory retrieval?-Memory retrieval?,133-134,TRUE,-0.026700733755219076
46334,6-8,Memory retrieval?-Fronto-parietal Task Control,134-176,TRUE,0.01682607832174437
50824,6-8,Memory retrieval?-Fronto-parietal Task Control,136-193,TRUE,0.008337315989102069
51352,6-8,Memory retrieval?-Fronto-parietal Task Control,136-195,TRUE,-0.03670401369211348
51880,6-8,Memory retrieval?-Fronto-parietal Task Control,136-197,TRUE,-9.225055758149313e-4
52142,6-8,Memory retrieval?-Fronto-parietal Task Control,134-198,TRUE,-0.0033438308636163615
52670,6-8,Memory retrieval?-Fronto-parietal Task Control,134-200,TRUE,0.0037819573243574396
47694,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,174-181,TRUE,0.034539322823290926
49021,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,181-186,TRUE,-0.026041985416914142
49554,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,186-188,TRUE,0.011863897188425506
50071,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,175-190,TRUE,0.014071826404754524
50085,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,189-190,TRUE,0.0033069352875093197
50874,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,186-193,TRUE,-0.05277596464813327
50876,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,188-193,TRUE,0.011322703367179146
50877,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,189-193,TRUE,-0.03131480000027478
51133,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,181-194,TRUE,0.03953341853286674
51656,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,176-196,TRUE,-0.004161657375848289
51661,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,181-196,TRUE,0.002268324224364746
52194,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,186-198,TRUE,0.02402170280973798
52470,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,198-199,TRUE,0.018828791753920028
52715,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,179-200,TRUE,0.007704885714294135
52989,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,189-201,TRUE,0.0013126050114487127
53253,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,189-202,TRUE,-0.02069581855114758
