index,network,network_names,connection,censor,Beta
61215,10-10,Subcortical-Subcortical,231-232,TRUE,-0.26675721830866256
58767,7-10,Visual-Subcortical,159-223,TRUE,0.14026108583079042
60099,7-10,Visual-Subcortical,171-228,TRUE,-0.2112520150507695
41855,7-7,Visual-Visual,143-159,TRUE,0.4442786809748943
42927,7-7,Visual-Visual,159-163,TRUE,1.8362618727681743
43977,7-7,Visual-Visual,153-167,TRUE,0.003528522541095791
44771,7-7,Visual-Visual,155-170,TRUE,0.8969035580912741
45569,7-7,Visual-Visual,161-173,TRUE,-3.0595996797889247
45574,7-7,Visual-Visual,166-173,TRUE,-1.6537623270345214
46634,7-8,Visual-Fronto-parietal Task Control,170-177,TRUE,1.7803054788576527
49260,7-8,Visual-Fronto-parietal Task Control,156-187,TRUE,0.14601711553966634
49277,7-8,Visual-Fronto-parietal Task Control,173-187,TRUE,2.251451123466845
49527,7-8,Visual-Fronto-parietal Task Control,159-188,TRUE,0.28418058698648685
49529,7-8,Visual-Fronto-parietal Task Control,161-188,TRUE,-2.8483698710458936
49778,7-8,Visual-Fronto-parietal Task Control,146-189,TRUE,-2.859569300460327
52426,7-8,Visual-Fronto-parietal Task Control,154-199,TRUE,-2.6021162628272414
59590,8-10,Fronto-parietal Task Control-Subcortical,190-226,TRUE,-2.461792166865494
53264,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,200-202,TRUE,0.02227970050397456
